,Team_Name,Player_Name,Position_Name,Price,Games,Average_Score,Last_Score,Variation,Desarme,Goal,Assist,Clean_Sheet,Falta_Sofrida,Finalização_Fora,Finalização_Defd,Finalização_Trave,Defesa_Dificil,Defesa_Penalti,Gol_Contra,Cartao_Vermelho,Cartao_Amarelo,Gol_Sofrido,Penalti_Perdido,Falta_Cometida,Impedimento,Passe_Incompleto
25,Athletico-PR,Meio-Campo,Denner ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
26,Athletico-PR,Meio-Campo,Alvarado ,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
27,Athletico-PR,Meio-Campo,Jadson ,3.06,1.0,-0.6,-0.6,-1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
28,Athletico-PR,Meio-Campo,Nikão ,6.34,1.0,-1.9,-1.9,-4.66,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1.0,0,0,2.0,0,0
29,Athletico-PR,Meio-Campo,Richard ,1.6,1.0,-2.7,-2.7,-3.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,6.0,0,0
30,Athletico-PR,Atacante,Christian ,8.7,0.0,6.8,6.8,2.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0
31,Athletico-PR,Atacante,Vitinho ,5.85,1.0,3.4,3.4,0.85,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,1.0,0,0
32,Athletico-PR,Atacante,Renato Kayzer ,9.96,1.0,3.3,3.3,-1.04,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
33,Athletico-PR,Atacante,Matheus Babi ,5.5,1.0,0.9,0.9,-1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
34,Athletico-PR,Atacante,Reinaldo ,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
35,Athletico-PR,Atacante,Vinicius Mingotti ,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
36,Athletico-PR,Atacante,Thiago Moraes ,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
37,Athletico-PR,Atacante,Yago ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
38,Athletico-PR,Atacante,Jajá ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0
